data,fold,depth,min_samples_leaf,min_samples_split,num_rows,num_targets,prediction_method,prediction_method_leaf,evaluation_method,mse,nof_infeasibilities,training_duration
class,3,15,5,10,1000,5,medoid,optimal,mse,1334.80549127974,0,187.940539360046
class,4,15,5,10,1000,5,sklearn,sklearn,sklearn,1177.5630828944,102,0.003603935241699
class,4,15,5,10,1000,5,optimal,medoid,mse,1601.7732947,0,901.346450328827
class,4,15,5,10,1000,5,optimal,optimal,mse,1388.49797710038,0,824.637668132782
class,4,15,5,10,1000,5,mean,medoid,mse,1597.7135619,0,41.5760400295258
class,4,15,5,10,1000,5,mean,optimal,mse,1394.45410952654,0,40.1440322399139
class,4,15,5,10,1000,5,medoid,medoid,mse,1333.1599469,0,263.044680833817
class,4,15,5,10,1000,5,medoid,optimal,mse,1252.23249304122,0,282.628128290176
class,0,15,5,10,1000,7,sklearn,sklearn,sklearn,843.687770951795,105,0.003752946853638
class,0,15,5,10,1000,7,optimal,medoid,mse,1205.44497921429,0,1107.44746351242
class,0,15,5,10,1000,7,optimal,optimal,mse,964.37025334564,0,1106.68951392174
class,0,15,5,10,1000,7,mean,medoid,mse,1115.06561885714,0,39.7341930866241
class,0,15,5,10,1000,7,mean,optimal,mse,943.173251007363,0,38.6495561599731
class,0,15,5,10,1000,7,medoid,medoid,mse,932.741203928572,0,1049.37345337868
class,0,15,5,10,1000,7,medoid,optimal,mse,925.176525046383,0,1123.97403383255
class,1,15,5,10,1000,7,sklearn,sklearn,sklearn,787.226550870426,108,0.003778696060181
class,1,15,5,10,1000,7,optimal,medoid,mse,1174.98376114286,0,1953.50066256523
class,1,15,5,10,1000,7,optimal,optimal,mse,950.52635179323,0,1082.34192657471
class,1,15,5,10,1000,7,mean,medoid,mse,1189.71124421429,0,35.512481212616
class,1,15,5,10,1000,7,mean,optimal,mse,996.193890876996,0,34.6708917617798
class,1,15,5,10,1000,7,medoid,medoid,mse,1012.93781085714,0,183.046009302139
class,1,15,5,10,1000,7,medoid,optimal,mse,905.491167106456,0,172.524567604065
class,2,15,5,10,1000,7,sklearn,sklearn,sklearn,850.825350092554,120,0.003554821014404
class,2,15,5,10,1000,7,optimal,medoid,mse,1277.47557314286,0,1437.79995679855
class,2,15,5,10,1000,7,optimal,optimal,mse,1023.06697820492,0,2359.98641467094
class,2,15,5,10,1000,7,mean,medoid,mse,1209.67946685714,0,48.4747731685638
class,2,15,5,10,1000,7,mean,optimal,mse,990.534586491688,0,48.5314958095551
class,2,15,5,10,1000,7,medoid,medoid,mse,1023.89347685714,0,270.59184885025
class,2,15,5,10,1000,7,medoid,optimal,mse,954.766674578838,0,246.29726600647
class,3,15,5,10,1000,7,sklearn,sklearn,sklearn,841.831739639067,117,0.003424644470215
class,3,15,5,10,1000,7,optimal,medoid,mse,1219.19246271429,0,1196.35400009155
class,3,15,5,10,1000,7,optimal,optimal,mse,1004.45269273087,0,1193.27077531815
class,3,15,5,10,1000,7,mean,medoid,mse,1108.53455535714,0,38.3689200878143
class,3,15,5,10,1000,7,mean,optimal,mse,953.546504219385,0,37.8145227432251
class,3,15,5,10,1000,7,medoid,medoid,mse,1015.33357414286,0,538.145739078522
class,3,15,5,10,1000,7,medoid,optimal,mse,944.462034988757,0,584.390741348267
class,4,15,5,10,1000,7,sklearn,sklearn,sklearn,835.313867659694,117,0.004521369934082
class,4,15,5,10,1000,7,optimal,medoid,mse,1252.21041571429,0,2156.68329024315
class,4,15,5,10,1000,7,optimal,optimal,mse,1000.25584345156,0,954.283217906952
class,4,15,5,10,1000,7,mean,medoid,mse,1071.291462,0,40.4729416370392
class,4,15,5,10,1000,7,mean,optimal,mse,934.623514777338,0,40.2485640048981
class,4,15,5,10,1000,7,medoid,medoid,mse,888.278911928571,0,533.058365821838
class,4,15,5,10,1000,7,medoid,optimal,mse,845.697431784122,0,667.75171494484
class,0,15,5,10,500,3,sklearn,sklearn,sklearn,1565.09850881308,61,0.002743482589722
class,0,15,5,10,500,3,optimal,medoid,mse,2323.633934,0,201.548015117645
class,0,15,5,10,500,3,optimal,optimal,mse,2148.78535259613,0,216.622716426849
class,0,15,5,10,500,3,mean,medoid,mse,2163.849483,0,8.65802836418152
class,0,15,5,10,500,3,mean,optimal,mse,2112.53490776453,0,8.71350431442261
class,0,15,5,10,500,3,medoid,medoid,mse,2275.999243,0,19.846444606781
class,0,15,5,10,500,3,medoid,optimal,mse,2113.04136445618,0,20.8029129505157
class,1,15,5,10,500,3,sklearn,sklearn,sklearn,1655.67172248722,44,0.00249719619751
