data,fold,depth,min_samples_leaf,min_samples_split,prediction_method,prediction_method_leaf,evaluation_method,mse,mse gap,nof_infeasibilities,training_duration,use_brute_force,use_hashmaps,use_initial_solution
hts_df_size_500_seed_2_v2,3,5,5,10,mean,optimal,mse,7.195384615384616,0.40717497448943324,0,1.2803287506103516,True,True,False
hts_df_size_500_seed_2_v2,3,5,5,10,optimal,optimal,mse,7.498461538461537,0.46644661656221853,0,104.46199607849121,True,True,False
hts_df_size_500_seed_2_v2,4,5,5,10,sklearn,sklearn,sklearn,5.126785203285052,0.0,100,0.0,,,
hts_df_size_500_seed_2_v2,4,5,5,10,mean,optimal,mse,7.053846153846154,0.3758809612944801,0,1.2688896656036377,True,True,False
hts_df_size_500_seed_2_v2,4,5,5,10,optimal,optimal,mse,7.089230769230769,0.38278287233259845,0,106.84394598007202,True,True,False
hts_df_size_500_seed_3_v2,0,5,5,10,sklearn,sklearn,sklearn,4.867559098175923,0.0,100,0.0,,,
hts_df_size_500_seed_3_v2,0,5,5,10,mean,optimal,mse,7.006153846153846,0.43935670935753873,0,1.3519690036773682,True,True,False
hts_df_size_500_seed_3_v2,0,5,5,10,optimal,optimal,mse,7.133846153846154,0.4655900442009019,0,122.94959163665771,True,True,False
hts_df_size_500_seed_3_v2,1,5,5,10,sklearn,sklearn,sklearn,5.172320169911929,0.0,100,0.003989458084106445,,,
hts_df_size_500_seed_3_v2,1,5,5,10,mean,optimal,mse,7.2953846153846165,0.4104665557679191,0,1.6372218132019043,True,True,False
hts_df_size_500_seed_3_v2,1,5,5,10,optimal,optimal,mse,7.064615384615384,0.36585036357787487,0,126.47803544998169,True,True,False
hts_df_size_500_seed_3_v2,2,5,5,10,sklearn,sklearn,sklearn,4.927191773283762,0.0,100,0.0,,,
hts_df_size_500_seed_3_v2,2,5,5,10,mean,optimal,mse,7.235384615384616,0.4684601185235667,0,1.7309026718139648,True,True,False
hts_df_size_500_seed_3_v2,2,5,5,10,optimal,optimal,mse,7.212307692307693,0.46377653319976203,0,121.69057297706604,True,True,False
hts_df_size_500_seed_3_v2,3,5,5,10,sklearn,sklearn,sklearn,4.825737161343579,0.0,100,0.0,,,
hts_df_size_500_seed_3_v2,3,5,5,10,mean,optimal,mse,6.961538461538461,0.442585501196305,0,1.3659741878509521,True,True,False
hts_df_size_500_seed_3_v2,3,5,5,10,optimal,optimal,mse,6.839999999999999,0.41740003056768443,0,123.17698574066162,True,True,False
hts_df_size_500_seed_3_v2,4,5,5,10,sklearn,sklearn,sklearn,4.763075742940704,0.0,100,0.0036339759826660156,,,
hts_df_size_500_seed_3_v2,4,5,5,10,mean,optimal,mse,6.630769230769232,0.3921192079711546,0,1.4094421863555908,True,True,False
hts_df_size_500_seed_3_v2,4,5,5,10,optimal,optimal,mse,6.786153846153846,0.42474195507210255,0,117.6488356590271,True,True,False
hts_df_size_500_seed_4_v2,0,5,5,10,sklearn,sklearn,sklearn,4.987241924709425,0.0,100,0.0,,,
hts_df_size_500_seed_4_v2,0,5,5,10,mean,optimal,mse,7.069230769230769,0.41746297371420354,0,1.3826398849487305,True,True,False
hts_df_size_500_seed_4_v2,0,5,5,10,optimal,optimal,mse,7.186153846153845,0.44090741027617925,0,109.95616960525513,True,True,False
hts_df_size_500_seed_4_v2,1,5,5,10,sklearn,sklearn,sklearn,4.772255441035705,0.0,100,0.0,,,
hts_df_size_500_seed_4_v2,1,5,5,10,mean,optimal,mse,6.706153846153847,0.40523782287279136,0,1.3781075477600098,True,True,False
hts_df_size_500_seed_4_v2,1,5,5,10,optimal,optimal,mse,6.561538461538461,0.37493446078285253,0,107.93013715744019,True,True,False
hts_df_size_500_seed_4_v2,2,5,5,10,sklearn,sklearn,sklearn,4.837271590146269,0.0,100,0.016828060150146484,,,
hts_df_size_500_seed_4_v2,2,5,5,10,mean,optimal,mse,7.067692307692308,0.46109065327022414,0,1.4812235832214355,True,True,False
hts_df_size_500_seed_4_v2,2,5,5,10,optimal,optimal,mse,7.127692307692308,0.47349433970416804,0,112.2386691570282,True,True,False
hts_df_size_500_seed_4_v2,3,5,5,10,sklearn,sklearn,sklearn,5.01350020564902,0.0,100,0.0,,,
